id,marca,nro_serie,modelo,codigo
501,SonTek,,FlowTracker,FT
502,Nivus,,Nivus,NV
1,ARKANSAS,ARKANSAS,ARKANSAS,ARKANSAS
2,OTT,C-2,C-2,C-2
3,OTT,C-31,C-31,C-31
4,KAHLSICO,1,KAHLSICO,1
5,OTT,2,C-2,2
6,OTT,3,C-2,3
7,BRAYSTOKE,8011,MK-3,8011
8,OTT,46082,C-2,46082
9,OTT,46083,C-2,46083
10,OTT,212661,C-2,212661
11,OTT,212692,C-2,212692
12,OTT,212761,C-2,212761
13,OTT,232097,C-2,232097
15,OTT,234028,C-2,234028
16,OTT,105557 / 76,C-31,105557 / 76
17,OTT,105657 / 926,C-31,105657 / 926
18,OTT,110020 / 214,C-31,110020 / 214
19,OTT,1-118654,C-2,1-118654
20,OTT,1-135308 / 513,C-31,1-135308 / 513
21,OTT,1-170881/888,C-31,1-170881/888
22,OTT,1-200714/818,C-31,1-200714/818
23,SEBA,125mm,F1,125mm
24,OTT,1-30117,C-31,1-30117
25,ARKANSAS,13365 / 1,ARKANSAS,13365 / 1
26,ARKANSAS,13365 / 2,ARKANSAS,13365 / 2
27,OTT,1-40980,C-31,1-40980
28,OTT,1-47980,C-31,1-47980
29,OTT,1-49906,C-2,1-49906
30,OTT,1-75531,C-31,1-75531
31,OTT,1-88836,C-31,1-88836
32,OTT,1-92103 / 424,C-31,1-92103 / 424
34,OTT,2-116715,C-2,2-116715
36,OTT,2-48011,C-31,2-48011
37,OTT,2-75093,C-31,2-75093
38,OTT,2-75094,C-31,2-75094
39,OTT,2-80875,C-31,2-80875
40,OTT,3-19776,,3-19776
41,OTT,3-48820,C-2,3-48820
42,OTT,4-30969,C-31,4-30969
43,OTT,4-85804,C-31,4-85804
44,OTT,5-119237,C-2,5-119237
45,OTT,6-116215,C-2,6-116215
46,OTT,6-48272,C-2,6-48272
47,SEBA,80mm,F1,80mm
48,ARKANSAS,9135/1,ARKANSAS,9135/1
49,ARKANSAS,9135/2,ARKANSAS,9135/2
50,OTT,95652 / 96027,C-31,95652 / 96027
51,HILGER & WATTS,cazoletas,H & W,cazoletas
59,BRAYSTOKE,MK-3,MK-3,MK-3
58,KAHLSICO,KAHLSICO,KAHLSICO,KAHLSICO
35,OTT,1-222795/863,C-31,1-222795/863
33,OTT,1-210711/712,C-31,1-210711/712
57,HILGER & WATTS,H & W,H & W,H & W
56,SEBA,2121,F1,F1 2121
241,Sontec,P5546,Flow Tracker,P5546
380,ARKANSAS,6217/2,ARKANSAS,6217/2
377,ARKANSAS,6216/1,ARKANSAS,6216/1
378,ARKANSAS,6216/2,ARKANSAS,6216/2
379,ARKANSAS,6217/1,ARKANSAS,6217/1
410,SEBA,2122,F1,F1 2122
411,SEBA,2123,F1,F1 2123
413,SEBA,1-2218/2373,F1,1-2218/2373
412,SEBA,1-518/533,F1,1-518/533
414,OTT,1-75532,C-31,1-75532
501,flowtracker,flowtracker,flowtracker,flowtracker
502,nivus,nivus,nivus,nivus
